ObjectID,pland,v,tcog,luc,yearbuilt,muni,lotarea,X,Y
18,28.7786960514233,145.509641873278,8,60,1999,119,5445,-80.0127680185427,40.4361306806333
19,34.4322344322344,154.945054945055,8,60,1999,119,4095,-80.0128249712453,40.4361546962403
20,27.563672922252,134.869302949062,8,60,1999,119,5968,-80.0128436954216,40.4361625917824
22,28.8835400851694,130.494352897612,8,60,1999,119,5401,-80.0128631997718,40.4361708163053
264,6.42307692307692,88.4615384615385,8,60,2000,119,2600,-80.0222103157665,40.4390578871369
288,0.794701986754967,19.1169977924945,7,70,1995,121,4530,-80.0285784865,40.4508040906
289,0.439189189189189,9.67342342342342,6,70,1995,121,8880,-80.0262129350296,40.4512107130555
302,2.05396697543294,39.9113975030205,6,60,1996,121,2483,-80.02582756796,40.452445119628
303,1.78448867536033,33.7336993822924,6,60,1996,121,2914,-80.0257071550694,40.4524680572351
460,2.06929740134745,46.9682386910491,4,10,1999,103,4156,-79.9855464224548,40.4444416778581
462,2.45454545454545,33.75,4,10,2000,103,4400,-79.98528981,40.4444071259
470,4.79683972911964,34.7911963882619,4,60,2000,101,3544,-79.9866399680088,40.4439097796651
481,3.78343118069145,30.223961730811,4,10,1995,103,4599,-79.98444071161,40.4440620032991
484,4.83641536273115,35.1635846372688,4,10,1999,103,3515,-79.98528981,40.4444071259
488,6.68546113572292,91.5827627869513,4,10,2000,103,2483,-79.9866386522295,40.4439077114961
921,3.0788433534429,48.3045558560433,6,40,2000,116,4807,-79.9741603607352,40.4265768197044
584,1.67648391481649,6.84186678749434,6,60,1999,105,2207,-79.9781820653199,40.4457461473985
630,2.51665433012583,11.1769059955588,4,60,1999,105,1351,-79.9864306521,40.4433530623
631,2.50368188512518,11.119293078056,4,60,1999,105,1358,-79.9864306521,40.4433530623
633,3.07692307692308,12.2267206477733,6,60,1999,105,1235,-79.9789587749306,40.4454213354203
635,3.07692307692308,12.2267206477733,6,60,1999,105,1235,-79.9790880294723,40.4453696432342
636,3.07692307692308,12.2267206477733,6,60,1999,105,1235,-79.9792172840139,40.4453179510481
637,2.93436293436293,11.6602316602317,4,60,1999,105,1295,-79.9864306521,40.4433530623
638,1.86522262334537,9.08543922984356,4,60,1999,105,1662,-79.9864306521,40.4433530623
639,2.24266820011501,8.68315123634273,4,60,1999,105,1739,-79.9864306521,40.4433530623
641,6.80119581464873,67.4140508221226,6,60,1998,105,1338,-79.9789933680041,40.4452584931752
642,6.74074074074074,64.7407407407407,6,60,1998,105,1350,-79.9797677582165,40.4451336505701
643,6.74074074074074,64.7407407407407,6,60,1998,105,1350,-79.9797874980346,40.4451588441908
644,6.74074074074074,64.8148148148148,6,60,1998,105,1350,-79.9798279646618,40.4452104911131
646,6.74074074074074,55.5555555555556,6,60,1998,105,1350,-79.9798477045,40.4452356847
655,2.6984126984127,11.984126984127,4,60,1999,105,1260,-79.9864306521,40.4433530623
656,1.52892561983471,6.2396694214876,4,60,1999,105,2420,-79.9864306521,40.4433530623
719,6.56565656565657,63.3477633477633,7,60,2000,105,1386,-79.9675417487574,40.4403604255858
721,7.93226381461676,70.4099821746881,7,60,2000,105,1122,-79.9675267443962,40.440325684392
723,7.93226381461676,93.5828877005348,7,60,2000,105,1122,-79.9675120972816,40.4402917703693
725,7.93226381461676,70.3208556149733,7,60,2000,105,1122,-79.9674970929204,40.4402570291754
728,7.93226381461676,66.8449197860963,7,60,2000,105,1122,-79.9674820885591,40.4402222879815
730,6.72579453067258,62.8972653362897,7,60,2000,105,1353,-79.9674674414446,40.4401883739589
732,6.73575129533679,63.8045891931902,7,60,2000,105,1351,-79.9674524370833,40.440153632765
845,21.5277777777778,328.472222222222,5,60,2000,117,720,-79.9812497453,40.4305219585
868,26.9183922046285,292.082825822168,5,60,1999,117,821,-79.9815953603621,40.4306223935036
873,24.7990815154994,149.253731343284,5,60,1997,117,871,-79.981289919542,40.430261869291
877,17.5771971496437,147.268408551069,5,10,1998,117,1263,-79.9822279917942,40.4307246616478
879,37.5782881002088,229.64509394572,5,60,1997,117,958,-79.9816288117269,40.4304159270186
881,20.1101928374656,98.8062442607897,5,60,1998,117,1089,-79.9820899531964,40.4306848404239
1355,2.5507614213198,21.0659898477157,11,10,2000,128,7880,-80.0461737776482,40.4319638478712
1356,1.95185426154847,16.9997211636769,11,10,1999,128,10759,-80.0466490102832,40.4315511496821
1359,2.32531631141001,17.8844181009917,11,10,1999,128,8773,-80.0431114692,40.4309182967
1372,2.15020255531318,17.2223953464215,11,10,2000,128,9627,-80.0431114692,40.4309182967
1961,3.2,27.15,9,10,1999,125,2000,-80.0055879741,40.4616662048
1984,2.77142857142857,23.8857142857143,9,10,2000,125,3500,-80.0056913584,40.4619764061
1987,2.45,21.95,9,10,2000,125,4000,-80.0052240331934,40.4616993045083
1571,1.19760479041916,24.2182302062542,8,70,1997,121,3006,-80.0289902221141,40.4593747353982
1572,0.603174603174603,11.6507936507937,8,70,1997,121,6300,-80.0290610967961,40.4593638320306
1585,2.46744345442084,35.195339273475,8,60,1995,121,2918,-80.0278201061508,40.458874844905
1586,1.76991150442478,24.3960774934226,8,60,1995,121,4181,-80.0278565781541,40.4588673243781
1757,2.71614384085692,43.5348125478194,6,60,1996,121,2614,-80.0252783575347,40.456108409276
1758,2.71614384085692,42.8844682478959,6,60,1996,121,2614,-80.0252306991208,40.4561179970088
1759,2.71614384085692,42.8844682478959,6,60,1996,121,2614,-80.0251846293206,40.4561272651505
1778,3.15962248666393,39.3926959376282,8,70,1996,121,2437,-80.023400863153,40.4574911706123
