lotarea	pland	v	zip
17796	2.3994155990110099	13.250168577208401	15219
14810	4.5914922349763697	35.867656988521296	15222
24394	4.2633434451094496	41.448716897597796	15222
13382	0.50067254520998406	3.1086534150351197	15222
43560	1.2235996326905401	3.4435261707989001	15222
991861	0.21212649756367099	0.87945790791250002	15222
13900	3.2589928057553995	24.100719424460402	15222
13820	26.121562952243099	181.150506512301	15222
12950	2.1158301158301201	4.34749034749035	15222
121532	0.45584701971497202	0.66073133002007699	15222
12549	1.0996892182643999	6.4228225356602108	15222
40800	29.031862745097995	416.12009803921598	15219
473497	5.7459709354019105	9.503756095603559	15222
14400	20.833333333333302	125	15222
15684	0.420811017597552	2.2698291252231601	15222
33707	2.3615272792001697	11.866971252262101	15222
11282	12.914376883531301	141.80109909590501	15219
25837	2.4461044238882202	17.095638038472	15222
118483	1.6407417097811499	4.7095363891866302	15222
344559	14.511302853792801	28.442153593433899	15222
30720	24.127604166666698	113.93229166666701	15219
696524	0.56882462054430306	4.4733562662593096	15219
35532	4.2215467747382599	7.0359112912304401	15222
35283	15.707281126888302	91.488818977978098	15222
1696226	1.0183194928034401	3.6129619520040399	15222
19776	2.5182038834951502	9.101941747572819	15222
12000	1.5	1.9333333333333299	15219
3317529	1.0330580380759299	1.0432764868069001	15222
20250	2.4345679012345701	3.0765432098765397	15222
78408	0.17727782879298002	0.84430160187735903	15222
138956	0.37349952502950603	1.3594231267451602	15222
161172	1.81172908445636	5.0660164296527898	15222
189921	2.6326735853328499	6.7554404199640906	15222
10889	6.9152355588208294	37.606759114702904	15222
139392	1.8229166666666701	9.3728477961432493	15222
20832	16.201036866359398	36.208717357910895	15222
11960	6.7725752508361197	15.133779264214	15219
67953	0.92122496431357002	1.0595558694980401	15222
39888	1.4089450461291599	6.6711793020457304	15222
158122	63.4883191459759	1807.61943309596	15222
32214	10.864841373315899	388.03004904699802	15219
10472	6.7131398013750994	17.522918258212399	15222
115869	28.186141245717102	541.91889116156995	15222
238708	0.87010070881579208	3.0790756908021498	15222
20966	12.143470380616201	14.962319946580201	15222
19689	3.18451927472193	8.0704962161613095	15222
16600	5.1144578313252997	37.969879518072295	15222
87120	0.55325987144168997	2.6595500459136802	15222
23871	5.7559381676511204	6.8786393531900597	15222
14621	5.8477532316531003	23.4320497913959	15222
12000	6.6666666666666698	7	15222
23790	2.1395544346364	4.0521227406473297	15222
32682	1.35548620035494	2.9159782143075699	15222
